LayerName,FilterType,typeCode,TypeCodeDescription,LayerDescription,ProjectionDate,RCP,Correlated
clim.gs4570.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) GS RCP45 2070,2070,45,yes
clim.gs4570.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) GS RCP45 2070,2070,45,yes
clim.gs4570.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month GS RCP45 2070,2070,45,yes
clim.gs4570.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month GS RCP45 2070,2070,45,yes
clim.gs4570.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter GS RCP45 2070,2070,45,yes
clim.he2650.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP26 2050,2050,26,yes
clim.he2650.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP26 2050,2050,26,yes
clim.he2650.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP26 2050,2050,26,yes
clim.he2650.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP26 2050,2050,26,yes
clim.he2650.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP26 2050,2050,26,yes
clim.he2650.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP26 2050,2050,26,yes
clim.he2650.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP26 2050,2050,26,yes
clim.he2650.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP26 2050,2050,26,yes
clim.he2650.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP26 2050,2050,26,yes
clim.he2650.bio04,climate,bio04,Temperature Seasonality (standard deviation *100),Temperature Seasonality (standard deviation *100) HE RCP26 2050,2050,26,yes
clim.he2650.bio05,climate,bio05,Max Temperature of Warmest Month,Max Temperature of Warmest Month HE RCP26 2050,2050,26,yes
clim.he2650.bio06,climate,bio06,Min Temperature of Coldest Month,Min Temperature of Coldest Month HE RCP26 2050,2050,26,yes
clim.he2650.bio09,climate,bio09,Mean Temperature of Driest Quarter,Mean Temperature of Driest Quarter HE RCP26 2050,2050,26,yes
clim.he2670.bio10,climate,bio10,Mean Temperature of Warmest Quarter,Mean Temperature of Warmest Quarter HE RCP26 2070,2070,26,yes
clim.he2670.bio11,climate,bio11,Mean Temperature of Coldest Quarter,Mean Temperature of Coldest Quarter HE RCP26 2070,2070,26,yes
clim.he2670.bio13,climate,bio13,Precipitation of Wettest Month,Precipitation of Wettest Month HE RCP26 2070,2070,26,yes
clim.he2670.bio14,climate,bio14,Precipitation of Driest Month,Precipitation of Driest Month HE RCP26 2070,2070,26,yes
clim.he2670.bio16,climate,bio16,Precipitation of Wettest Quarter,Precipitation of Wettest Quarter HE RCP26 2070,2070,26,yes
clim.he2670.bio17,climate,bio17,Precipitation of Driest Quarter,Precipitation of Driest Quarter HE RCP26 2070,2070,26,yes
clim.he2670.bio19,climate,bio19,Precipitation of Coldest Quarter,Precipitation of Coldest Quarter HE RCP26 2070,2070,26,yes
clim.he2670.bio02,climate,bio02,Mean Diurnal Range (Mean of monthly (max temp - min temp)),Mean Diurnal Range (Mean of monthly (max temp - min temp)) HE RCP26 2070,2070,26,yes
clim.he2670.bio03,climate,bio03,Isothermality (BIO2/BIO7) (* 100),Isothermality (BIO2/BIO7) (* 100) HE RCP26 2070,2070,26,yes
