Subsp_Ritaxa,long,lat
Camar_1396C,-8.613999999999999,54.217
Camar_1396C,-8.613999999999999,54.217
Camar_1396C,-5.544,54.284
Camar_1396C,-3.5380000000000003,54.29600000000001
Camar_1396C,-8.615,54.307
Camar_1396C,-8.615,54.307
Camar_1396C,-5.539,54.374
Camar_1396C,-8.617,54.397
Camar_1396C,-5.533,54.463
Camar_1396C,-8.309,54.488
Camar_1396C,-5.528,54.553
Camar_1396C,-5.8370000000000015,54.559
Camar_1396C,-1.228,54.573
Camar_1396C,-8.619,54.577
Camar_1396C,-8.31,54.578
Camar_1396C,-4.481,54.64
Camar_1396C,-5.6770000000000005,54.646
Camar_1396C,-5.8320000000000025,54.649
Camar_1396C,-5.8320000000000025,54.649
Camar_1396C,-5.8320000000000025,54.649
Camar_1396C,-1.226,54.663
Camar_1396C,-5.107,54.715
Camar_1396C,-4.641,54.726000000000006
Camar_1396C,-4.021,54.738
Camar_1396C,-3.865,54.74100000000001
Camar_1396C,-3.555,54.745
Camar_1396C,-1.38,54.753
Camar_1396C,-8.467,54.757
Camar_1396C,-5.822,54.828
Camar_1396C,-3.403,54.837
Camar_1396C,-1.379,54.843
Camar_1396C,-8.468,54.847
Camar_1396C,-3.406,54.927
Camar_1396C,-1.3769999999999998,54.933
Camar_1396C,-6.125,55.01300000000001
Camar_1396C,-6.125,55.01300000000001
Camar_1396C,-8.47,55.027
Camar_1396C,-8.157,55.027
Camar_1396C,-4.978,55.078
Camar_1396C,-6.747000000000001,55.111
Camar_1396C,-6.904,55.112
Camar_1396C,-7.061,55.114
Camar_1396C,-1.6880000000000002,55.114
Camar_1396C,-8.314,55.117
Camar_1396C,-8.157,55.117
Camar_1396C,-8.001,55.117
Camar_1396C,-4.985,55.168
Camar_1396C,-6.273,55.195
Camar_1396C,-6.43,55.197
Camar_1396C,-6.744,55.201
Camar_1396C,-6.744,55.201
Camar_1396C,-7.058,55.203
Camar_1396C,-7.215,55.205
Camar_1396C,-7.215,55.205
Camar_1396C,-7.53,55.206
Camar_1396C,-7.687,55.207
Camar_1396C,-7.687,55.207
Camar_1396C,-1.6869999999999998,55.294
Camar_1396C,-1.686,55.38399999999999
Camar_1396C,-5.478,55.424
Camar_1396C,-5.1629999999999985,55.433
Camar_1396C,-5.8020000000000005,55.505
Camar_1396C,-5.644,55.50899999999999
Camar_1396C,-5.17,55.523
Camar_1396C,-4.695,55.534
Camar_1396C,-1.6840000000000002,55.563
Camar_1396C,-5.811,55.594
Camar_1396C,-5.184,55.702
Camar_1396C,-2.161,55.833
Camar_1396C,-3.122,55.918
Camar_1396C,-2.642,55.92100000000001
Camar_1396C,-6.006,55.948
Camar_1396C,-2.964,56.00899999999999
Camar_1396C,-3.287,56.096
Camar_1396C,-2.645,56.101000000000006
Camar_1396C,-2.807,56.19
Camar_1396C,-2.971,56.279
Camar_1396C,-2.648,56.28100000000001
Camar_1396C,-6.527,56.29
Camar_1396C,-2.9730000000000003,56.369
Camar_1396C,-5.568,56.411
Camar_1396C,-6.871,56.456
Camar_1396C,-2.975,56.458
Camar_1396C,-6.721,56.552
Camar_1396C,-6.397,56.56399999999999
Camar_1396C,-6.57,56.648
Camar_1396C,-6.265,56.839
Camar_1396C,-7.597,56.966
Camar_1396C,-7.433,56.973
Camar_1396C,-6.306,57.197
Camar_1396C,-7.499,57.42
Camar_1396C,-7.334,57.427
Camar_1396C,-2.002,57.54
Camar_1396C,-7.36,57.606
Camar_1396C,-3.006,57.62600000000001
Camar_1396C,-2.839,57.627
Camar_1396C,-7.206,57.703
Camar_1396C,-4.188,57.791
Camar_1396C,-4.02,57.794
Camar_1396C,-7.064,57.88800000000001
Camar_1396C,-4.03,57.973
Camar_1396C,7.62,57.989
Camar_1396C,7.5870000000000015,57.993
Camar_1396C,7.001,58.012
Camar_1396C,7.433,58.014
Camar_1396C,7.686,58.034
Camar_1396C,7.124,58.038
Camar_1396C,7.266,58.038
Camar_1396C,7.145,58.043
Camar_1396C,7.14,58.043
Camar_1396C,7.1560000000000015,58.045
Camar_1396C,7.837999999999999,58.049
Camar_1396C,7.195,58.053
Camar_1396C,7.7189999999999985,58.053
Camar_1396C,6.79,58.066
Camar_1396C,6.732,58.066
Camar_1396C,6.7860000000000005,58.067
Camar_1396C,7.126,58.067
Camar_1396C,7.769,58.07100000000001
Camar_1396C,6.65,58.073
Camar_1396C,8.058,58.074
Camar_1396C,6.672999999999999,58.075
Camar_1396C,7.99,58.078
Camar_1396C,6.624,58.083
Camar_1396C,6.598,58.09
Camar_1396C,6.615,58.091
Camar_1396C,6.607,58.091
Camar_1396C,8.116,58.092
Camar_1396C,8.105,58.109
Camar_1396C,8.056000000000001,58.11
Camar_1396C,8.107000000000001,58.11
Camar_1396C,8.057,58.111
Camar_1396C,8.057,58.112
Camar_1396C,8.116,58.132
Camar_1396C,8.056000000000001,58.137
Camar_1396C,7.954,58.149
Camar_1396C,-7.102,58.157
Camar_1396C,-6.425,58.182
Camar_1396C,6.6770000000000005,58.191
Camar_1396C,8.377,58.233
Camar_1396C,8.652000000000001,58.335
Camar_1396C,8.665,58.37300000000001
Camar_1396C,8.737,58.4
Camar_1396C,8.801,58.425
Camar_1396C,8.802,58.425
Camar_1396C,8.802,58.425
Camar_1396C,-5.09,58.49100000000001
Camar_1396C,-4.5760000000000005,58.502
Camar_1396C,-4.5760000000000005,58.502
Camar_1396C,5.799,58.506
Camar_1396C,-4.061,58.512
Camar_1396C,5.805,58.518
Camar_1396C,-3.375,58.521
Camar_1396C,5.681,58.565
Camar_1396C,5.644,58.58600000000001
Camar_1396C,9.089,58.619
Camar_1396C,9.081,58.62
Camar_1396C,5.518,58.731
Camar_1396C,5.5829999999999975,58.854
Camar_1396C,-3.043,58.883
Camar_1396C,5.589,58.896
Camar_1396C,5.4929999999999986,58.898
Camar_1396C,5.4929999999999986,58.898
Camar_1396C,9.676,58.972
Camar_1396C,9.756,58.996
Camar_1396C,9.757,59.011
Camar_1396C,-3.397,59.059
Camar_1396C,5.4220000000000015,59.085
Camar_1396C,5.194,59.238
Camar_1396C,-2.7030000000000003,59.245
Camar_1396C,5.132999999999999,59.262
Camar_1396C,5.132999999999999,59.262
Camar_1396C,5.132999999999999,59.262
Camar_1396C,5.132999999999999,59.262
Camar_1396C,-1.285,59.963
Camar_1396C,-1.462,60.143
Camar_1396C,4.956,60.364
Camar_1396C,4.845,60.539
Camar_1396C,-0.901,60.769
Camar_1396C,4.7639999999999985,61.077
Camar_1396C,4.7639999999999985,61.077
Camar_1396C,5.082,62.004
Camar_1396C,5.355,62.043
Camar_1396C,5.961,62.489
Camar_1396C,6.051,62.562
Camar_1396C,6.0360000000000005,62.563
Camar_1396C,6.127999999999999,62.56800000000001
Camar_1396C,6.334,62.681
Camar_1396C,6.871,62.788
Camar_1396C,6.871,62.817
Camar_1396C,8.509,62.838
Camar_1396C,9.908,63.353
Camar_1396C,9.109,63.621
Camar_1396C,9.099,63.621
Camar_1396C,9.695,63.642
Camar_1396C,9.705,63.642
Camar_1396C,9.19,63.643
Camar_1396C,9.329,63.651
Camar_1396C,9.826,63.654
Camar_1396C,9.827,63.664
Camar_1396C,9.604,63.665
Camar_1396C,9.413,63.688
Camar_1396C,9.696,63.705
Camar_1396C,9.513,63.98
Camar_1396C,10.051,63.981
Camar_1396C,10.079,64.178
Camar_1396C,28.036,70.76899999999998
