Species, X, Y
Tetramerium_nervosum, -99.017, 24.617
Tetramerium_nervosum, -98.967, 24.567
Tetramerium_nervosum, -88.3619444444, 21.0283333333
Tetramerium_nervosum, -88.9444444444, 20.4
Tetramerium_nervosum, -110.77662, 31.52637
Tetramerium_nervosum, -110.84167, 31.75
Tetramerium_nervosum, -111.19167, 31.41667
Tetramerium_nervosum, -111.63333, 31.9
Tetramerium_nervosum, -110.6008, 32.1354
Tetramerium_nervosum, -109.256, 31.3441
Tetramerium_nervosum, -111.581, 31.7605
Tetramerium_nervosum, -111.186, 31.7028
Tetramerium_nervosum, -111.5868, 31.7898
Tetramerium_nervosum, -110.78333, 31.80833
Tetramerium_nervosum, -110.56667, 32.08333
Tetramerium_nervosum, -110.8529, 31.8334
Tetramerium_nervosum, -111.05031, 31.56775
Tetramerium_nervosum, -109.256, 31.3441
Tetramerium_nervosum, -111.5868, 31.7898
Tetramerium_nervosum, -109.885, 31.4481
Tetramerium_nervosum, -110.8529, 31.8334
Tetramerium_nervosum, -110.94233, 31.67183
Tetramerium_nervosum, -110.76667, 31.525
Tetramerium_nervosum, -111.5868, 31.7898
Tetramerium_nervosum, -110.58333, 32.18333
Tetramerium_nervosum, -104.89, 21.52
Tetramerium_nervosum, -100.31, 25.67
Tetramerium_nervosum, -101.61, 26.75
Tetramerium_nervosum, -104.89, 21.52
Tetramerium_nervosum, -92.19, 16.11
Tetramerium_nervosum, -104.67, 24.02
Tetramerium_nervosum, -100.24, 18.85
Tetramerium_nervosum, -97.48, 18.18
Tetramerium_nervosum, -102.58, 22.77
Tetramerium_nervosum, -99.23, 18.92
Tetramerium_nervosum, -100.571666667, 19.895
Tetramerium_nervosum, -90.0611111, 18.6019444
Tetramerium_nervosum, -105.6, 22.5833333
Tetramerium_nervosum, -108.707, 27.66
Tetramerium_nervosum, -96.76, 17.03
Tetramerium_nervosum, -94.15, 16.71666
Tetramerium_nervosum, -105.9386111, 23.4066667
Tetramerium_nervosum, -107.2166667, 24.8666667
Tetramerium_nervosum, -88.95, 21.03333
Tetramerium_nervosum, -90.31, 20.52
Tetramerium_nervosum, -99.96666, 25.25
Tetramerium_nervosum, -109.929, 31.4482
Tetramerium_nervosum, -111.5868, 31.7898
Tetramerium_nervosum, -110.8529, 31.8334
Tetramerium_nervosum, -110.72972, 31.41556
Tetramerium_nervosum, -111.2785, 31.5046
Tetramerium_nervosum, -110.836469, 31.523864
Tetramerium_nervosum, -110.9494, 31.6775
Tetramerium_nervosum, -109.28333, 31.3375
Tetramerium_nervosum, -111.237, 31.4611
Tetramerium_nervosum, -111.07, 28.1
Tetramerium_nervosum, -89.917, 18.54
Tetramerium_nervosum, -100.725, 19.9883333333
Tetramerium_nervosum, -100.342, 25.578
Tetramerium_nervosum, -100.083333333, 20.905
Tetramerium_nervosum, -99.0672222222, 21.155
Tetramerium_nervosum, -98.2916666667, 21.2533333333
Tetramerium_nervosum, -96.211, 15.72
Tetramerium_nervosum, -99.4816666667, 20.5533333333
Tetramerium_nervosum, -110.425, 29.55
Tetramerium_nervosum, -111.132, 28.036
Tetramerium_nervosum, -106.09, 28.64
Tetramerium_nervosum, -100.518, 20.553
Tetramerium_nervosum, -106.517, 25.117
Tetramerium_nervosum, -100.842, 20.215
Tetramerium_nervosum, -99.076, 21.208
Tetramerium_nervosum, -96.228, 16.713
Tetramerium_nervosum, -101.428, 19.895
Tetramerium_nervosum, -89.618, 20.995
Tetramerium_nervosum, -101.615, 20.267
Tetramerium_nervosum, -89.02, 20.93
Tetramerium_nervosum, -105.049, 19.506
Tetramerium_nervosum, -100.653, 20.187
Tetramerium_nervosum, -98.68, 21.1816666667
Tetramerium_nervosum, -111.133, 28.033
Tetramerium_nervosum, -95.2883333333, 17.105
Tetramerium_nervosum, -100.16, 25.374
Tetramerium_nervosum, -110.086, 30.596
Tetramerium_nervosum, -89.517, 21.05
Tetramerium_nervosum, -88.711, 20.509
Tetramerium_nervosum, -103.731, 19.243
Tetramerium_nervosum, -100.21, 18.141
Tetramerium_nervosum, -99.146, 23.736
Tetramerium_nervosum, -89.018, 20.931
Tetramerium_nervosum, -111.5868, 31.7898
Tetramerium_nervosum, -109.283333, 31.3375
Tetramerium_nervosum, -110.6001, 32.1398
Tetramerium_nervosum, -111.191667, 31.416667
Tetramerium_nervosum, -110.815, 31.811
Tetramerium_nervosum, -111.6404, 31.8273
Tetramerium_nervosum, -111.5868, 31.7898
Tetramerium_nervosum, -111.191667, 31.416667
Tetramerium_nervosum, -110.35, 24.167
Tetramerium_nervosum, -110.6008, 32.1354
Tetramerium_nervosum, -109.7, 23.26
Tetramerium_nervosum, -109.783, 23.5
Tetramerium_nervosum, -109.55, 30.9
Tetramerium_nervosum, -100.25, 22.21666
Tetramerium_nervosum, -111.586, 31.7897
Tetramerium_nervosum, -110.307, 32.8976
Tetramerium_nervosum, -111.332, 31.5747
Tetramerium_nervosum, -110.307, 32.8976
Tetramerium_nervosum, -93.1457222, 16.9034167
Tetramerium_nervosum, -95.4, 16.5
Tetramerium_nervosum, -107.698, 27.07
Tetramerium_nervosum, -110.9, 27.93333
Tetramerium_nervosum, -112.467, 27.033
Tetramerium_nervosum, -109.917, 23.233
Tetramerium_nervosum, -99.54, 18.99
Tetramerium_nervosum, -111.07, 28.1
Tetramerium_nervosum, -95.0175, 16.67222
Tetramerium_nervosum, -92.0883333, 15.6938889
Tetramerium_nervosum, -98.16666, 23.23333
Tetramerium_nervosum, -89.09, 20.7
Tetramerium_nervosum, -94.13333, 16.7
Tetramerium_nervosum, -93.14, 16.82
Tetramerium_nervosum, -89.6380555, 21.0283334
Tetramerium_nervosum, -89.63, 21.07
Tetramerium_nervosum, -111.0333333, 28.0
Tetramerium_nervosum, -104.6666667, 24.0333337
Tetramerium_nervosum, -110.85, 30.5333333
Tetramerium_nervosum, -89.55, 21.19
Tetramerium_nervosum, -110.844358624, 31.5244603551
Tetramerium_nervosum, -106.3333333, 23.3333333
Tetramerium_nervosum, -89.09, 20.7
Tetramerium_nervosum, -99.183, 21.016
Tetramerium_nervosum, -89.6666667, 21.2
Tetramerium_nervosum, -98.16666, 23.23333
Tetramerium_nervosum, -106.4166667, 23.2166667
Tetramerium_nervosum, -105.529998779, 20.2800006866
Tetramerium_nervosum, -105.231, 20.613
Tetramerium_nervosum, -93.1458333333, 16.9033333333
Tetramerium_nervosum, -99.95, 25.133
Tetramerium_nervosum, -90.505, 19.785
Tetramerium_nervosum, -100.873333333, 20.5916666667
Tetramerium_nervosum, -111.07565, 31.55401
Tetramerium_nervosum, -110.8147, 31.8253
Tetramerium_nervosum, -95.7716666667, 16.7133333333
Tetramerium_nervosum, -100.385, 20.2666666667
Tetramerium_nervosum, -111.04, 28.09
Tetramerium_nervosum, -98.6166666667, 21.3333333333
Tetramerium_nervosum, -110.7304, 31.4157
Tetramerium_nervosum, -99.5383333333, 19.5666666667
Tetramerium_nervosum, -110.80333, 31.50667
Tetramerium_nervosum, -110.815, 31.811
Tetramerium_nervosum, -110.934, 31.3403
Tetramerium_nervosum, -111.19167, 31.41667
Tetramerium_nervosum, -111.154, 31.3699
Tetramerium_nervosum, -111.61667, 31.78333
Tetramerium_nervosum, -99.188, 21.206
Tetramerium_nervosum, -104.217, 21.228
Tetramerium_nervosum, -97.05, 18.13
Tetramerium_nervosum, -99.4666666667, 24.0666666667
Tetramerium_nervosum, -99.533, 21.133
Tetramerium_nervosum, -96.6667, 19.3333
Tetramerium_nervosum, -104.582, 25.095
Tetramerium_nervosum, -99.32, 21.182
Tetramerium_nervosum, -100.265, 20.5
Tetramerium_nervosum, -99.9136111111, 25.0786111111
Tetramerium_nervosum, -87.8344444444, 20.6952777778
Tetramerium_nervosum, -88.3666666667, 20.8388888889
Tetramerium_nervosum, -88.4125, 20.9958333333
Tetramerium_nervosum, -88.1263888889, 20.8958333333
Tetramerium_nervosum, -88.3619444444, 21.0283333333
Tetramerium_nervosum, -88.9544444444, 20.0897222222
Tetramerium_nervosum, -88.7, 21.2333333333
Tetramerium_nervosum, -88.3583333333, 21.0166666667
Tetramerium_nervosum, -88.4022222222, 21.0902777778
Tetramerium_nervosum, -88.4022222222, 21.0902777778
Tetramerium_nervosum, -109.736956, 31.890821
Tetramerium_nervosum, -110.56667, 32.89167
Tetramerium_nervosum, -103.16, 18.77
Tetramerium_nervosum, -99.14, 23.73
Tetramerium_nervosum, -94.6, 16.5
Tetramerium_nervosum, -110.81833, 31.79222
Tetramerium_nervosum, -101.03, 18.12
Tetramerium_nervosum, -102.78, 18.73
Tetramerium_nervosum, -98.96666, 24.56666
Tetramerium_nervosum, -99.99, 18.99
Tetramerium_nervosum, -99.74, 24.72
Tetramerium_nervosum, -110.7483333, 30.8713889
Tetramerium_nervosum, -98.4380555, 18.8658333
Tetramerium_nervosum, -89.5969444, 21.0955555
Tetramerium_nervosum, -102.13333, 19.28333
Tetramerium_nervosum, -92.16, 16.1
Tetramerium_nervosum, -104.8333333, 21.8166667
Tetramerium_nervosum, -94.1666667, 16.7
Tetramerium_nervosum, -104.98, 21.51
Tetramerium_nervosum, -93.77694, 16.23472
Tetramerium_nervosum, -100.19, 18.88
Tetramerium_nervosum, -110.76667, 31.80833
Tetramerium_nervosum, -110.766, 31.5368
Tetramerium_nervosum, -110.7562, 31.5395
Tetramerium_nervosum, -110.8149, 31.8544
Tetramerium_nervosum, -108.78611, 27.00556
Tetramerium_nervosum, -109.891347, 32.936517
Tetramerium_nervosum, -110.90158, 31.40889
Tetramerium_nervosum, -110.6001, 32.1398
Tetramerium_nervosum, -111.052, 31.5872
Tetramerium_nervosum, -110.89342, 31.51369
Tetramerium_nervosum, -98.669, 24.602
Tetramerium_nervosum, -96.613, 19.238
Tetramerium_nervosum, -100.19, 18.89
Tetramerium_nervosum, -99.167, 17.408
Tetramerium_nervosum, -101.803, 17.982
Tetramerium_nervosum, -107.621, 25.54
Tetramerium_nervosum, -100.275, 20.375
Tetramerium_nervosum, -102.547, 20.54
Tetramerium_nervosum, -106.432, 23.95
Tetramerium_nervosum, -109.367, 28.483
Tetramerium_nervosum, -98.851, 24.718
Tetramerium_nervosum, -110.8084, 31.8018
Tetramerium_nervosum, -110.51889, 32.13194
Tetramerium_nervosum, -111.61667, 31.78333
Tetramerium_nervosum, -110.7903, 31.6115
Tetramerium_nervosum, -110.88, 32.26
Tetramerium_nervosum, -110.871, 31.7638
Tetramerium_nervosum, -110.8715, 32.259
Tetramerium_nervosum, -110.84167, 31.75
Tetramerium_nervosum, -105.947, 22.788
Tetramerium_nervosum, -98.701, 24.634
Tetramerium_nervosum, -100.388333333, 19.6766666667
Tetramerium_nervosum, -100.81, 19.7
